byte	frequency
0	0.650482603401
1	0.641789830263
2	0.66192868682
3	0.65116589584
4	0.657922907234
5	0.655103508868
6	0.669284000603
7	0.656098080123
8	0.65574651624
9	0.660898481942
10	0.668805880056
11	0.651692719116
12	0.665627836173
13	0.667598675097
14	0.681698313078
15	0.637950450117
16	0.655136819589
17	0.661909334808
18	0.667628027673
19	0.677615206275
20	0.672989220152
21	0.667095698418
22	0.67740326014
23	0.654527534577
24	0.668594571813
25	0.670617476214
26	0.674339615493
27	0.673296240739
28	0.67898624366
29	0.681635986106
30	0.694764718
31	0.645091161585
32	0.653248272611
33	0.657139207762
34	0.671480706802
35	0.664441060725
36	0.670003669174
37	0.666615749968
38	0.679827239216
39	0.660324466498
40	0.674504010141
41	0.673526355199
42	0.679816078898
43	0.66981953548
44	0.677472715735
45	0.692371298662
46	0.693846982415
47	0.666687595293
48	0.681960296225
49	0.680195541593
50	0.682055906333
51	0.671081622764
52	0.679167809055
53	0.678530113853
54	0.687753004735
55	0.677224253258
56	0.685626035545
57	0.67926965557
58	0.687027248555
59	0.686119460931
60	0.691736242707
61	0.697775486464
62	0.705213777143
63	0.633747180884
64	0.661435962704
65	0.657790200809
66	0.668728335183
67	0.663140287569
68	0.676140993746
69	0.677660481327
70	0.685094812258
71	0.662125421925
72	0.677898281784
73	0.674822694863
74	0.695119126416
75	0.666293510838
76	0.682636118858
77	0.682319761497
78	0.693966388803
79	0.674605061441
80	0.672017483602
81	0.677812061836
82	0.685034396263
83	0.682414934702
84	0.68706185932
85	0.683675940044
86	0.689626120156
87	0.671560288956
88	0.681506694763
89	0.681444366994
90	0.684417085951
91	0.683796017237
92	0.686397825282
93	0.688755455275
94	0.711950419141
95	0.653775364379
96	0.686698972643
97	0.6699166578
98	0.690742900796
99	0.678648097105
100	0.699893582777
101	0.679293667271
102	0.698569760731
103	0.673825609623
104	0.695008914983
105	0.678736593868
106	0.692786288856
107	0.693658369423
108	0.699544348184
109	0.693488941156
110	0.714775699686
111	0.673386344796
112	0.682304748051
113	0.693886385221
114	0.706860037405
115	0.689120705445
116	0.694275867488
117	0.689230544794
118	0.697637336383
119	0.689508003468
120	0.693814569677
121	0.68647690877
122	0.694903811067
123	0.692784699868
124	0.700206123489
125	0.704590799424
126	0.705205360617
127	0.632328039516
128	0.65219499881
129	0.654230124607
130	0.667609813417
131	0.652303600433
132	0.669928481753
133	0.664557689823
134	0.679369658107
135	0.654512999207
136	0.669727306737
137	0.676120395702
138	0.675537259716
139	0.673523281364
140	0.679439311151
141	0.685027573148
142	0.695999205342
143	0.652503076442
144	0.674021106056
145	0.674928594325
146	0.681847064211
147	0.671270525977
148	0.681761849961
149	0.678710541649
150	0.686121755423
151	0.662218542716
152	0.679249416967
153	0.678107833261
154	0.68381471716
155	0.685858078835
156	0.687011678027
157	0.691624866212
158	0.705235683731
159	0.649832300572
160	0.663965664047
161	0.667469452677
162	0.680325678772
163	0.672683071281
164	0.680780149869
165	0.676469492794
166	0.689856692815
167	0.665856291318
168	0.6798590696
169	0.678354768476
170	0.688388967291
171	0.681502386604
172	0.68935841351
173	0.687730438729
174	0.698397273025
175	0.668675669069
176	0.682859861142
177	0.676995995671
178	0.684164119869
179	0.681150231668
180	0.6892219134
181	0.688481074062
182	0.690341067356
183	0.675418886808
184	0.685828502491
185	0.681059868328
186	0.693550257445
187	0.685778969395
188	0.691921281437
189	0.698373567845
190	0.708987964387
191	0.650414717717
192	0.666118960616
193	0.667295830292
194	0.68049893242
195	0.667957112367
196	0.67769686428
197	0.682266368271
198	0.698245619914
199	0.664116965119
200	0.680067633785
201	0.680043228591
202	0.688699466912
203	0.676984208616
204	0.685031934001
205	0.692739048054
206	0.706784194958
207	0.659707309161
208	0.679868798193
209	0.678238362359
210	0.686691060443
211	0.675313537085
212	0.684527655804
213	0.687997478886
214	0.700992672359
215	0.680244293959
216	0.683722325092
217	0.687372044991
218	0.699754362448
219	0.681806820872
220	0.690192843207
221	0.694588288383
222	0.710660208029
223	0.663375478263
224	0.680164694144
225	0.67950100107
226	0.697463675355
227	0.676666999631
228	0.689139268692
229	0.688874537191
230	0.708689286622
231	0.668925413549
232	0.686375762593
233	0.682039961237
234	0.704350312569
235	0.692096153989
236	0.700750099627
237	0.694417415999
238	0.709740703861
239	0.679374675245
240	0.692359817902
241	0.686589799827
242	0.703338136785
243	0.68436266656
244	0.70291299634
245	0.697719261629
246	0.709443897325
247	0.688419148544
248	0.70173720052
249	0.697121110057
250	0.712537300564
251	0.699528200453
252	0.710402324264
253	0.705764651253
254	0.697302669418
255	0.833904870645
