byte	frequency
0	0.956079
1	6.96E-01
2	4.28E-01
3	5.59E-01
4	3.66E-01
5	3.66E-01
6	4.79E-01
7	3.95E-01
8	3.85E-01
9	0.351474
10	0.341443
11	3.29E-01
12	0.445832
13	0.401028
14	3.54E-01
15	0.339747
16	3.97E-01
17	0.345596
18	3.35E-01
19	3.33E-01
20	3.22E-01
21	2.69E-01
22	3.28E-01
23	3.14E-01
24	4.34E-01
25	3.23E-01
26	3.81E-01
27	3.19E-01
28	3.19E-01
29	3.37E-01
30	2.96E-01
31	3.35E-01
32	0.403905
33	0.36571
34	0.370699
35	0.314593
36	0.328731
37	0.335543
38	0.318108
39	0.317964
40	0.379076
41	0.389712
42	0.247897
43	0.280249
44	0.341612
45	0.291946
46	0.288069
47	0.300125
48	0.422815
49	0.329239
50	0.278615
51	0.302325
52	0.344647
53	0.285261
54	0.256528
55	0.316395
56	0.340351
57	0.305649
58	0.312247
59	0.316898
60	0.29833
61	0.263039
62	0.305203
63	0.326296
64	0.492791
65	0.307406
66	0.346974
67	0.327261
68	0.308652
69	0.293057
70	0.311238
71	0.296725
72	0.379687
73	0.332955
74	0.404156
75	0.291951
76	0.27435
77	0.256815
78	0.301667
79	0.283206
80	0.369002
81	0.296101
82	0.414875
83	0.248362
84	0.250955
85	0.233714
86	0.262949
87	0.263632
88	0.325865
89	0.294934
90	0.272322
91	0.271195
92	0.265663
93	0.258446
94	2.71E-01
95	0.29514
96	4.28E-01
97	0.347686
98	0.328905
99	0.287439
100	0.312007
101	0.277527
102	0.289207
103	0.2898
104	0.32347
105	0.287248
106	0.278207
107	0.24099
108	0.298712
109	0.27207
110	0.315353
111	0.280156
112	0.341787
113	0.296905
114	0.317295
115	0.274475
116	0.309636
117	0.285909
118	0.311448
119	0.318925
120	0.300008
121	0.271029
122	0.245399
123	0.262873
124	0.31768
125	0.304029
126	0.304986
127	3.17E-01
128	0.626965
129	0.343163
130	0.294695
131	2.97E-01
132	3.64E-01
133	2.87E-01
134	3.58E-01
135	2.95E-01
136	0.382563
137	3.06E-01
138	2.59E-01
139	3.31E-01
140	3.04E-01
141	2.85E-01
142	3.08E-01
143	2.96E-01
144	3.67E-01
145	2.97E-01
146	3.42E-01
147	0.302811
148	0.455022
149	2.60E-01
150	3.10E-01
151	2.54E-01
152	0.321472
153	0.252487
154	2.52E-01
155	2.60E-01
156	0.324823
157	0.28939
158	2.68E-01
159	2.92E-01
160	0.408371
161	3.06E-01
162	2.71E-01
163	3.01E-01
164	3.58E-01
165	3.63E-01
166	2.06E-01
167	2.69E-01
168	2.88E-01
169	0.2583
170	2.48E-01
171	2.42E-01
172	2.75E-01
173	2.46E-01
174	2.56E-01
175	0.256553
176	3.52E-01
177	0.294833
178	3.14E-01
179	2.77E-01
180	2.66E-01
181	2.28E-01
182	3.09E-01
183	2.76E-01
184	0.298724
185	3.11E-01
186	2.85E-01
187	2.95E-01
188	0.269405
189	2.43E-01
190	3.07E-01
191	3.00E-01
192	5.00E-01
193	2.84E-01
194	0.30969
195	0.330391
196	3.56E-01
197	2.75E-01
198	2.76E-01
199	3.02E-01
200	3.13E-01
201	3.12E-01
202	3.00E-01
203	2.75E-01
204	2.98E-01
205	2.54E-01
206	0.308164
207	2.80E-01
208	3.53E-01
209	2.68E-01
210	3.21E-01
211	2.29E-01
212	2.93E-01
213	2.48E-01
214	2.61E-01
215	2.53E-01
216	3.21E-01
217	2.97E-01
218	2.19E-01
219	3.20E-01
220	3.18E-01
221	3.26E-01
222	2.44E-01
223	3.23E-01
224	3.77E-01
225	2.94E-01
226	0.298497
227	0.294408
228	3.12E-01
229	3.17E-01
230	2.69E-01
231	2.98E-01
232	3.02E-01
233	2.63E-01
234	2.66E-01
235	2.76E-01
236	3.25E-01
237	2.75E-01
238	3.24E-01
239	2.90E-01
240	3.31E-01
241	2.92E-01
242	2.94E-01
243	2.91E-01
244	2.58E-01
245	2.58E-01
246	2.84E-01
247	3.07E-01
248	3.40E-01
249	3.16E-01
250	2.74E-01
251	3.33E-01
252	3.22E-01
253	3.06E-01
254	3.19E-01
255	4.65E-01
